Layer,Name,GEOID,PCI_2020-2024,HCSBDP_2023-2024,POC_2020-2024,POP_2020-2024
(Indicator name),,,"Per capita income, 2020-2024","Adult binge drinking rate (% of adults), 2023-2024","People of color (% of residents), 2020-2024","Population (residents), 2020-2024"
(Definition),,,"Income in the past 12 months.","Percent of adults who report binge drinking (men having 5 or more drinks on one occasion, women having 4 or more drinks on one occasion) in the past month.","Percent of residents that are not non-Hispanic white.","Average population over the time period."
(Citation),,,"U.S. Census Bureau - American Community Survey (ACS) (Table B19301)","Chicago Department of Public Health - Healthy Chicago Survey (HCS)","U.S. Census Bureau - American Community Survey (ACS) (Table B03002)","U.S. Census Bureau - American Community Survey (ACS) (ACS: Table B01001 (sex and age), B03002 (race/ethnicity); Decennial Census: Table P012)"
---,---,---,---,---,---,---
Community area,Lincoln Park,7,113985.32940853918,43.541470887,23.212317840476658,67920.59157719537
Community area,Ashburn,70,30948.45365248387,26.5732898,91.75053215909091,42179.86179958407
Community area,Auburn Gresham,71,25602.36310697248,27.773764514,99.47513027638688,43860.69938776773
Community area,Beverly,72,62627.97754281978,29.368432777,42.954534704063555,19553.60888487051
Community area,Washington Heights,73,31934.63992491614,37.453171705,98.53575845392946,24755.82899535278
Community area,Mount Greenwood,74,51877.16279038208,35.708801814,17.926106089073347,19064.084350424167
Community area,Morgan Park,75,39279.87486535832,25.630929468,71.69456001585137,21410.012942294346
Community area,O'Hare,76,48126.86789326415,27.719755606,38.768829131755155,15286.605098509346
Community area,Edgewater,77,55837.42127581661,28.677479082,48.368500905267496,56573.000668948356
Community area,Near North Side,8,121937.77964132602,44.996184051,33.73278473476374,99292.48607212082
Community area,Edison Park,9,66794.56325674786,38.939300239,20.55869551389263,11554.191910863192
